Coyote,Carnivora,Canidae,n/a,n/a,coyote2.jpg,https://flic.kr/p/bEYz1
Grey Wolf,Carnivora,Canidae,n/a,n/a,wolf2.jpg,https://flic.kr/p/8zWTqi
Red Fox,Carnivora,Canidae,n/a,n/a,redfox2.jpg,
Black Bear,Carnivora,Ursidae,n/a,n/a,blackbear.jpg,https://flic.kr/p/bFb3AR
Grizzly Bear,Carnivora,Ursidae,n/a,n/a,grizzlybear.jpg,https://flic.kr/p/bqLHBX
Raccoon,Carnivora,Procyonidae,n/a,n/a,raccoon2.jpg,
Sea Otter,Carnivora,Mustelidae,n/a,n/a,seaotter.jpg,https://flic.kr/p/i63ZV3
Wolverine,Carnivora,Mustelidae,n/a,n/a,wolverine2.jpg,
River Otter,Carnivora,Mustelidae,n/a,n/a,riverotter2.jpg,
Fisher,Carnivora,Mustelidae,n/a,n/a,fisher2.jpg,
Least Weasel,Carnivora,Mustelidae,n/a,n/a,leastweasel.jpg,
Ermine,Carnivora,Mustelidae,n/a,n/a,shorttailedweasel2.jpg,
Long-tailed Weasel,Carnivora,Mustelidae,n/a,n/a,longtailedweasel2.jpg,
Mink,Carnivora,Mustelidae,n/a,n/a,mink2.jpg,
American Badger,Carnivora,Mustelidae,n/a,n/a,badger2.jpg,
Marten,Carnivora,Mustelidae,n/a,n/a,marten.jpg,
Striped Skunk,Carnivora,Mephitidae,n/a,n/a,stripedskunk2.jpg,
Spotted Skunk,Carnivora,Mephitidae,n/a,n/a,spottedskunk2.jpg,
Cougar,Carnivora,Felidae,n/a,n/a,cougar.jpg,https://flic.kr/p/9ZvphF
Canada Lynx,Carnivora,Felidae,n/a,n/a,lynx2.jpg,
Bobcat,Carnivora,Felidae,n/a,n/a,bobcat2.jpg,
Mountain Goat,Artiodactyla,Bovidae,Oreamnos americanus,M-ORAM,mountaingoat.jpg,https://flic.kr/p/6SW4ew
Bison,Artiodactyla,Bovidae,Bos bison,M-BOBI,bison.jpg,https://flic.kr/p/ft727R
Rocky Mountain Bighorn,Artiodactyla,Bovidae,Ovis canadensis canadensis,M-OVCA,bighornsheep.jpg,https://flic.kr/p/qzhVHS
California Bighorn,Artiodactyla,Bovidae,Ovis canadensis californiana,M-OVCA,calbighorn.jpg,https://flic.kr/p/ByxAE8
Dall's Sheep,Artiodactyla,Bovidae,Ovis dalli dalli,M-OVDA,thinhornsheep.jpg,
Stone's Sheep,Artiodactyla,Bovidae,Ovis dalli stonei,M-OVDA,stonessheep.jpg,https://flic.kr/p/2gDpNHP
Fallow Deer,Artiodactyla,Cervidae,Dama dama,M-DADA,fallowdeer.jpg,https://flic.kr/p/2hpEgBH
Elk,Artiodactyla,Cervidae,Cervus canadensis,M-CECA,elk.jpg,https://flic.kr/p/iCMc2v
Caribou,Artiodactyla,Cervidae,Rangifer tarandus,M-RATA,caribou.jpg,https://flic.kr/p/pWbV99
White-tailed Deer,Artiodactyla,Cervidae,Odocoileus virginianus,M-ODVI,whitetaileddeer.jpg,https://flic.kr/p/9rpe2Y
Mule Deer,Artiodactyla,Cervidae,Odocoileus hemionus,M-ODHE,muledeer.jpg,https://flic.kr/p/7J9fjc
Moose,Artiodactyla,Cervidae,Alces americanus,M-ALAM,moose.jpg,https://flic.kr/p/oeN98j
